PARK,SIZE,BOROUGH,TOTAL
BILL BROWN PLAYGROUND,3.21,BROOKLYN     ,3
SARATOGA PARK,3.21,BROOKLYN     ,7
SCARANGELLA PARK,3.21,BROOKLYN     ,1
NOBLE PLAYGROUND,3.21,BRONX        ,8
JAMAICA PLAYGROUND,3.21,QUEENS       ,3
MARCY PLAYGROUND,3.2,BROOKLYN     ,1
LYONS POOL,3.2,STATEN ISLAND,1
WAYANDA PARK,3.17,QUEENS       ,0
AMERICAN VETERANS MEMORIAL PIER,3.17,BROOKLYN     ,0
HOLCOMBE RUCKER PARK,3.13,MANHATTAN    ,3
JESSE OWENS PLAYGROUND,3.1,BROOKLYN     ,0
EAST RIVER WALK,3.09,MANHATTAN    ,1
PARK OF THE AMERICAS,3.08,QUEENS       ,19
BROOKLYN HEIGHTS PROMENADE,3.04,BROOKLYN     ,2
J.J. BYRNE PLAYGROUND,3.03,BROOKLYN     ,13
HERO PARK,3.02,STATEN ISLAND,0
NOSTRAND PLAYGROUND,3.02,BROOKLYN     ,3
FORT INDEPENDENCE PLAYGROUND,3.02,BRONX        ,2
BROWNSVILLE PLAYGROUND,3.02,BROOKLYN     ,2
GRANDVIEW PLAYGROUND,3.01,STATEN ISLAND,0
LAWRENCE VIRGILIO PLAYGROUND,3.01,QUEENS       ,2
JACOB JOFFE FIELDS,2.98,BROOKLYN     ,0
CLASSON PLAYGROUND AT CLASSON AVENUE & KENT,2.98,BROOKLYN     ,0
UTOPIA PLAYGROUND,2.98,QUEENS       ,0
BATH BEACH PARK,2.96,BROOKLYN     ,2
GLEN OAKS OVAL,2.95,QUEENS       ,0
MERRIAM PLAYGROUND,2.94,BRONX        ,4
POSEIDON PLAYGROUND,2.94,BROOKLYN     ,0
ROBERT E. VENABLE PARK,2.94,BROOKLYN     ,2
LEFFERTS PLAYGROUND,2.94,QUEENS       ,0
WALT WHITMAN PARK,2.91,BROOKLYN     ,0
WESTERLEIGH PARK,2.89,STATEN ISLAND,1
PETERS FIELD,2.87,QUEENS       ,1
DELPHIN H. GREENE PLAYGROUND,2.86,QUEENS       ,0
HOFFMAN PARK,2.86,QUEENS       ,5
MARKHAM PLAYGROUND,2.84,STATEN ISLAND,1
SPERANDEO BROTHERS PLAYGROUND,2.8,BROOKLYN     ,3
BUSHWICK PLAYGROUND ON KNICKERBOCKER AVENUE,2.78,BROOKLYN     ,12
IRVING SQUARE PARK,2.76,BROOKLYN     ,3
ST. VARTAN PARK,2.76,MANHATTAN    ,8
RAVENSWOOD PLAYGROUND,2.76,QUEENS       ,3
GORMAN PLAYGROUND,2.76,QUEENS       ,1
LOUIS CUVILLIER PARK,2.75,MANHATTAN    ,0
GRACE PLAYGROUND,2.74,BROOKLYN     ,20
GREEN CENTRAL KNOLL,2.74,BROOKLYN     ,0
DETECTIVE WILLIAM T. GUNN PARK,2.72,QUEENS       ,1
HOLY COW PLAYGROUND,2.7,QUEENS       ,0
BAYSIDE FIELDS,2.69,QUEENS       ,0
HICKMAN PLAYGROUND,2.66,BROOKLYN     ,0
ARBUTUS WOODS PARK,2.65,STATEN ISLAND,0
STARS & STRIPES PLAYGROUND,2.65,BRONX        ,2
P.O. SERRANO PLAYGROUND,2.62,BRONX        ,1
COLEMAN PLAYGROUND,2.61,MANHATTAN    ,13
MARGARET I. CARMAN GREEN - WEEPING BEECH,2.6,QUEENS       ,3
KATHY REILLY TRIANGLE,2.59,BROOKLYN     ,0
RIVERDALE PLAYGROUND,2.58,BRONX        ,1
MARIE CURIE PARK,2.55,QUEENS       ,1
EDENWALD PLAYGROUND,2.54,BRONX        ,1
THOMAS GREENE PLAYGROUND,2.53,BROOKLYN     ,0
MURRAY PLAYGROUND,2.52,QUEENS       ,3
BATHGATE PLAYGROUND,2.5,BRONX        ,3
BIG BUSH PARK,2.5,QUEENS       ,3
JOSEPH RODMAN DRAKE PARK,2.49,BRONX        ,0
INDEPENCE PARK SYLVAN GROVE CEMETERY,2.48,STATEN ISLAND,0
ALLEY PARK,2.45,QUEENS       ,0
FREDERICK JOHNSON PLAYGROUND,2.45,MANHATTAN    ,1
DAMROSCH PARK,2.44,MANHATTAN    ,0
ASSER LEVY PLAYGROUND,2.44,MANHATTAN    ,14
HARRY MAZE PLAYGROUND,2.43,BROOKLYN     ,3
LOST BATTALION HALL RECREATION CENTER,2.41,QUEENS       ,0
DUTCH KILLS PLAYGROUND,2.4,QUEENS       ,5
KOSCIUSZKO POOL,2.39,BROOKLYN     ,2
WEST PLAYGROUND,2.39,BROOKLYN     ,1
HOMECREST PLAYGROUND,2.37,BROOKLYN     ,9
DE MATTI PLAYGROUND,2.34,STATEN ISLAND,0
POE PARK,2.33,BRONX        ,11
OVERLOOK PARK,2.33,QUEENS       ,0
BARUCH PLAYGROUND,2.32,MANHATTAN    ,2
OSBORN PLAYGROUND,2.3,BROOKLYN     ,3
FLOYD PATTERSON BALLFIELDS,2.3,BROOKLYN     ,1
RAILROAD PLAYGROUND,2.3,BROOKLYN     ,1
TRIBORO PLAZA,2.3,MANHATTAN    ,0
POWER PLAYGROUND,2.3,BROOKLYN     ,2
MONSIGNOR CRAWFORD FIELD,2.29,BROOKLYN     ,0
MARTIN LUTHER KING JR. PLAYGROUND,2.29,BROOKLYN     ,5
P.O. REINALDO SALGADO PLAYGROUND,2.29,BROOKLYN     ,5
CARLTON PARK AT CARLTON AVENUE & FOSTER ROAD,2.29,STATEN ISLAND,0
CENTURY PLAYGROUND,2.28,BROOKLYN     ,1
SOUTH PACIFIC PLAYGROUND,2.26,BROOKLYN     ,3
NORTH SHORE ESPLANADE,2.25,STATEN ISLAND,0
FOX PLAYGROUND BROOKLYN,2.25,BROOKLYN     ,1
VLEIGH PLAYGROUND,2.24,QUEENS       ,3
LAREDO AVENUE PARCEL,2.22,STATEN ISLAND,0
FREDERICK B. JUDGE PLAYGROUND,2.22,QUEENS       ,1
BELMONT PLAYGROUND BRONX,2.21,BRONX        ,8
